,serch_keyword,job_title,company_name,job_posted_date,job_location,job_link
0,data-science,  Lead Developer – Data Science (w/m/x) - im Bereich Betrugsprävention  , epunkt GmbH ,6.2.2022,Vienna,https://www.karriere.at/jobs/6002947
1,data-science,  Data Science Deployment Engineer (m/f/d)  , STRABAG SE ,3.2.2022,Vienna,https://www.karriere.at/jobs/6058003
2,data-science,  Student Consultant Data Science & AI (m/w/d)  , Capgemini  ,2.2.2022,Vienna,https://www.karriere.at/jobs/5979010
3,data-science,  Area Manager Data Science (m/w/d)  , Software Competence Center Hagenberg GmbH ,26.1.2022,Hagenberg,https://www.karriere.at/jobs/5975305
4,data-science,  Junior Researcher Data Science and Evolutionary Computation  , FH OÖ - Fachhochschule Oberösterreich ,7.2.2022,Hagenberg,https://www.karriere.at/jobs/5937108
5,data-science,  Senior Data Science Architect (f/m/x)  , Raiffeisen Bank International AG ,7.2.2022,Vienna,https://www.karriere.at/jobs/5999347
6,data-science,  Projektmanager (m/w/d) für Innovationsprojekte mit Fokus auf Data Science und Digitalisierung  , Trenkwalder Personaldienste GmbH ,7.2.2022,Kapfenberg,https://www.karriere.at/jobs/6047167
7,data-science,  PhD Candidate in the field of Climate Research and Data Science (w/m/d)  , KNOW-CENTER GmbH Research Center for Data-Driven Business & Big Data Analytics ,7.2.2022,Graz,https://www.karriere.at/jobs/6033709
8,data-science,  Praktikum im Bereich Data-Science & Machine Learning (m/w/div.)  , Bosch-Gruppe Österreich ,7.2.2022,Vienna,https://www.karriere.at/jobs/6061279
9,data-science,  DevOps Engineer with Data Science focus (f/m/d)  , Porsche Informatik GmbH ,6.2.2022,Vienna,https://www.karriere.at/jobs/5998501
10,data-science,  Data Science / Machine Learning Developer m/w/d  , Job World GmbH ,5.2.2022,Linz,https://www.karriere.at/jobs/6031813
11,data-science,  (Junior) Data Science Consultant (all genders)  , Accenture GmbH ,4.2.2022,Vienna,https://www.karriere.at/jobs/6058861
12,data-science,  Content Creator/ Texter*in im Bereich Data Science (w/m/d)  , KNOW-CENTER GmbH Research Center for Data-Driven Business & Big Data Analytics ,4.2.2022,Graz,https://www.karriere.at/jobs/6035383
13,data-science,  Data Science & Machine Learning Developer - Focus Mechatronics (m/w/d)  , TGW Logistics Group ,3.2.2022,Wels,https://www.karriere.at/jobs/5879187
14,data-science,  Data Science & Machine Learning Developer (m/w/d)  , TGW Logistics Group ,3.2.2022,Wels,https://www.karriere.at/jobs/5866159
15,data-science,  (Senior) Data Science Manager (all genders)  , Accenture GmbH ,3.2.2022,Vienna,https://www.karriere.at/jobs/5961499
16,data-science,  Projektmanager:in für Innovationsprojekte mit Fokus auf Data Science und Digitalisierung  , voestalpine AG ,1.2.2022,Kapfenberg,https://www.karriere.at/jobs/5958037
17,data-science,  Artificial Intelligence & Data Science Consultant (m/w/d)  , Deloitte ,1.2.2022,Vienna,https://www.karriere.at/jobs/5937512
18,data-science,"  IT-Lösungsentwickler:in Schwerpunkt Data Science, Data Analyse oder API- & Datenmanagement  ", ÖBB-Konzern ,31.1.2022,Vienna,https://www.karriere.at/jobs/5929529
19,data-science,  Praktikant:in Data Science befristet für 3-6 Monate  , Billa AG ,27.1.2022,Vienna,https://www.karriere.at/jobs/6040423
20,data-science,  Studentischer Mitarbeiter im Bereich Data Science*  , epitome GmbH ,26.1.2022,Vienna,https://www.karriere.at/jobs/6039805
21,data-science,  Consultant Data Science / AI / Big Data (m/w/d)  , Nagarro GmbH ,7.2.2022,Vienna,https://www.karriere.at/jobs/5992045
22,data-science,  Consultant Health Care - Schwerpunkt Data Science (m/w/d)  , BDO Austria GmbH Wirtschaftsprüfungs- und Steuerberatungsgesellschaft ,6.2.2022,Vienna,https://www.karriere.at/jobs/5910311
23,data-science,  Spezialist:in IT Business Analyse - Data Science  , ÖBB-Konzern ,3.2.2022,Vienna,https://www.karriere.at/jobs/6011647
24,data-science,  Data Scientist - Algorithmic Trading (f/m/d)  , PowerBot GmbH ,6.2.2022,Vienna,https://www.karriere.at/jobs/5975608
25,data-science,  Data Scientist (m|w|d)  , Smarter Ecommerce GmbH ,6.2.2022,Linz,https://www.karriere.at/jobs/6014623
26,data-science,  Data Scientist im Bereich Privacy-Preserving Machine Learning (m/w/d)  , Software Competence Center Hagenberg GmbH ,6.2.2022,Hagenberg,https://www.karriere.at/jobs/6020296
27,data-science,  Customer Insights Data Scientist ( f / d / m )  , Paysafe ,4.2.2022,Vienna,https://www.karriere.at/jobs/6059992
28,data-science,  Data Scientist  , Red Bull GmbH ,4.2.2022,Fuschl,https://www.karriere.at/jobs/5913926
29,data-science,  Data Scientist – Industrial Expertise*  , KTM AG ,3.2.2022,Österreich,https://www.karriere.at/jobs/5939253
30,data-science,  Data Scientist - Vehicle Data*  , KTM AG ,31.1.2022,Mattighofen,https://www.karriere.at/jobs/5970433
31,data-science,  Senior Data Scientist Trainer (f/m/x)  , Raiffeisen Bank International AG ,31.1.2022,Vienna,https://www.karriere.at/jobs/5999050
32,data-science,  Data Scientist (m/w/d) (ab 25h/Woche)  , Auftragnehmerkataster Österreich ,7.2.2022,Vienna,https://www.karriere.at/jobs/5969821
33,data-science,  Spezialist:in Data Scientist  , ÖBB-Konzern ,7.2.2022,Vienna,https://www.karriere.at/jobs/6061261
34,data-science,  Data Scientist (w/m/x) - Begleiten Sie die digitale Zukunft unseres Kunden!  , epunkt GmbH ,6.2.2022,Vienna,https://www.karriere.at/jobs/5968993
35,data-science,  Data Scientist oder Wirtschaftswissenschafter (m/w/d) für den Bereich Unternehmensregister  , Bundesanstalt Statistik Österreich ,6.2.2022,Vienna,https://www.karriere.at/jobs/6014299
36,data-science,  Senior Data Scientist (m/w/d)  , Boehringer Ingelheim RCV GmbH & Co KG ,5.2.2022,Vienna,https://www.karriere.at/jobs/6025171
37,data-science,  Senior Data Scientist (w/m/d)  , T-Systems Austria GesmbH ,5.2.2022,Vienna,https://www.karriere.at/jobs/6001279
38,data-science,  Data Scientist Supply Chain Optimierung (m/w/d)  , HOFER KG ,5.2.2022,Eberstalzell,https://www.karriere.at/jobs/5993431
39,data-science,  Data Scientist (m/f/d)  , INNIO Jenbacher ,5.2.2022,Jenbach,https://www.karriere.at/jobs/6045091
40,data-science,  Data Scientist Business Analytics (m/w/d)  , HOFER KG ,5.2.2022,Sattledt,https://www.karriere.at/jobs/5993158
41,data-science,  Data Scientist (w/m/x)  , 7lytix gmbh ,4.2.2022,Linz,https://www.karriere.at/jobs/5799902
42,data-science,  Business Intelligence Analyst / Data Scientist (m/f/d)  , ZETA GmbH ,3.2.2022,Lieboch,https://www.karriere.at/jobs/5932231
43,data-science,  Software Engineer & Data Scientist (m/w)  , Geislinger GmbH ,3.2.2022,Salzburg,https://www.karriere.at/jobs/5889372
44,data-science,  Data Scientist / Statistiker*in (m/w/d)  , FAREVA Unterach GmbH ,2.2.2022,Unterach,https://www.karriere.at/jobs/5970724
45,data-science,  Data Scientist - AI Strategist (m/w)  , Wacker Neuson ,1.2.2022,Hörsching,https://www.karriere.at/jobs/6052294
46,data-science,  Engineer Data Forecast Scientist (w/m/d)  , APG - Austrian Power Grid AG ,1.2.2022,Vienna,https://www.karriere.at/jobs/6049576
47,data-science,  Technical Data Scientist (f/m/x)  , Raiffeisen Bank International AG ,1.2.2022,Vienna,https://www.karriere.at/jobs/5999497
48,data-science,  Experienced Data Scientist (m/w/d)  , Frauscher Sensonic Gmbh ,31.1.2022,St.,https://www.karriere.at/jobs/5942950
49,data-science,  Data Engineer / Scientist  , Applied Statistics GmbH  ,31.1.2022,Vienna,https://www.karriere.at/jobs/5984233
50,data-science,  Fachpraktikant Data Scientist (m/w/d)  , EGGER - Mehr aus Holz ,27.1.2022,St.,https://www.karriere.at/jobs/5973388
51,data-science,  Advanced Data Analyst/Data Scientist (m/f/d)  , Boehringer Ingelheim RCV GmbH & Co KG ,4.2.2022,Vienna,https://www.karriere.at/jobs/6025075
52,data-science,  Data Scientist (f/m/d)  , HOFER KG ,30.1.2022,Salzburg,https://www.karriere.at/jobs/5993437
53,data-science,  Senior Data Scientist – Retail Intelligence (m|f|d)  , Smarter Ecommerce GmbH ,29.1.2022,Linz,https://www.karriere.at/jobs/6014620
54,data-science,  Data Scientists (m/w/d)  , SOLGENIUM OG ,28.1.2022,Graz,https://www.karriere.at/jobs/6045022
55,data-science,  Data Scientist Supply Chain Management (m/w/d)  , HOFER KG ,6.2.2022,Sattledt,https://www.karriere.at/jobs/5993278
56,data-science,  Advanced Data Analyst / Data Scientist (m/w/d) - Pharma  , Eblinger & Partner ,4.2.2022,Vienna,https://www.karriere.at/jobs/6020536
57,data-science,  Senior Data Scientist im Business Intelligence Competence Center (w/m/d)  , A1 Telekom Austria AG ,4.2.2022,Vienna,https://www.karriere.at/jobs/6004861
58,data-science,  Data Scientist w/m/d  , Bank für Tirol und Vorarlberg AG ,4.2.2022,Innsbruck,https://www.karriere.at/jobs/6045397
59,data-science,  Data Scientist*  , KTM AG ,3.2.2022,Mattighofen,https://www.karriere.at/jobs/5939322
60,data-science,  Senior Data Scientist*in (w/m/d)  , Adecco Personalbereitstellungs GmbH ,2.2.2022,Vienna,https://www.karriere.at/jobs/6052999
61,data-science,  Data Scientist (m/w/d)  , VITACIA GMBH ,2.2.2022,Klagenfurt,https://www.karriere.at/jobs/5985748
62,data-science,  Data Analyst Business Intelligence (m/w/d)  , UNITO Versand & Dienstleistungen GmbH ,2.2.2022,Salzburg,https://www.karriere.at/jobs/5936472
63,data-science,  Data Scientist Supply Chain Management (m/w/d)  , HOFER KG ,1.2.2022,Trumau,https://www.karriere.at/jobs/6050191
64,data-science,  Junior Data Scientist (m/w/d)  , HOFER KG ,1.2.2022,Salzburg,https://www.karriere.at/jobs/6049546
65,data-science,  Data Scientist (m/w/d)  , HOFER KG ,29.1.2022,Salzburg,https://www.karriere.at/jobs/5993434
66,data-science,  Business Data Scientist (m/w/d)  , Sparkasse OÖ ,26.1.2022,Linz,https://www.karriere.at/jobs/5948461
67,data-science,  Team Lead HPC Benchmarking & Testing (m/f/d)  , IMS Nanofabrication GmbH ,4.2.2022,Vienna,https://www.karriere.at/jobs/6057511
68,data-science,  Full Stack Developer (w/m/x) - Python & JavaScript - Start-Up-Flair eingebettet in einem stabilen Konzern!  , epunkt GmbH ,1.2.2022,Kapfenberg,https://www.karriere.at/jobs/6011707
